Year,Population 
1960,15487765364
1961,15699966121
1962,15988269460
1963,16346104191
1964,16706859875
1965,17071778426
1966,17451679596
1967,17831219405
1968,18222007389
1969,18627662434
1970,19039566983
1971,19458482041
1972,19872278274
1973,20293552124
1974,20712940757
1975,21122375674
1976,21525678775
1977,21927319634
1978,22336170896
1979,22755265158
1980,23180102135
1981,23616485728
1982,24070809916
1983,24527409031
1984,24982160293
1985,25446503440
1986,25927143709
1987,26423893789
1988,26924244224
1989,27425315965
1990,27936138965
1991,28435775725
1992,28926885481
1993,29413425916
1994,29896214609
1995,30375182486
1996,30853913915
1997,31332451149
1998,31808215884
1999,32279201046
2000,32748631113
2001,33218068170
2002,33687252004
2003,34155852333
2004,34625013779
2005,35096286963
2006,35569958705
2007,36043289742
2008,36524396559
2009,37010303257
2010,37500491930
2011,37995812798
2012,38508610274
2013,39025878254
2014,39543414148
2015,40056417485
2016,40566337764
2017,41074994610
2018,41574438546
2019,42061397174
2020,42528996642
2021,42949991626
2022,43332207228
